iter	Passed	Remaining
886	11188	1425
887	11200	1412
888	11211	1399
889	11223	1387
890	11235	1374
891	11246	1361
892	11257	1348
893	11270	1336
894	11282	1323
895	11293	1310
896	11304	1298
897	11316	1285
898	11326	1272
899	11338	1259
900	11349	1247
901	11360	1234
902	11372	1221
903	11383	1208
904	11397	1196
905	11409	1183
906	11423	1171
907	11443	1159
908	11459	1147
909	11472	1134
910	11484	1122
911	11496	1109
912	11509	1096
913	11521	1084
914	11532	1071
915	11545	1058
916	11557	1046
917	11569	1033
918	11581	1020
919	11593	1008
920	11604	995
921	11617	982
922	11629	970
923	11640	957
924	11651	944
925	11664	932
926	11676	919
927	11687	906
928	11698	894
929	11711	881
930	11723	868
931	11734	856
932	11746	843
933	11758	830
934	11768	818
935	11780	805
936	11792	792
937	11804	780
938	11816	767
939	11828	755
940	11840	742
941	11853	729
942	11864	717
943	11877	704
944	11889	691
945	11902	679
946	11913	666
947	11925	654
948	11937	641
949	11949	628
950	11962	616
951	11973	603
952	11985	591
953	11995	578
954	12008	565
955	12020	553
956	12032	540
957	12045	528
958	12057	515
959	12070	502
960	12082	490
961	12095	477
962	12108	465
963	12122	452
964	12134	440
965	12146	427
966	12160	414
967	12171	402
968	12183	389
969	12195	377
970	12207	364
971	12220	352
972	12233	339
973	12245	326
974	12256	314
975	12268	301
976	12280	289
977	12291	276
978	12304	263
979	12316	251
980	12329	238
981	12341	226
982	12354	213
983	12366	201
984	12378	188
985	12390	175
986	12402	163
987	12414	150
988	12427	138
989	12439	125
990	12450	113
991	12462	100
992	12474	87
993	12485	75
994	12497	62
995	12509	50
996	12522	37
997	12533	25
998	12545	12
999	12557	0
